deck_id,deck_name_zh,dbf_id,card_id,name_zh,count,collectible,set,type,rosetta_implemented,project_runtime_supported,project_deck_validated
dragon_warrior,龙战,102222,CORE_SW_066,王室图书管理员,1,True,CORE,MINION,False,True,True
dragon_warrior,龙战,111459,CORE_REV_990,赤红深渊,1,True,CORE,LOCATION,False,True,True
dragon_warrior,龙战,114218,EDR_456,黑暗的龙骑士,2,True,EMERALD_DREAM,MINION,False,True,True
dragon_warrior,龙战,114219,EDR_457,龙巢守护者,2,True,EMERALD_DREAM,MINION,False,True,True
dragon_warrior,龙战,115365,EDR_492,鸭妈妈,2,True,EMERALD_DREAM,MINION,False,True,True
dragon_warrior,龙战,115688,FIR_939,影焰晕染,2,True,EMERALD_DREAM,SPELL,False,True,True
dragon_warrior,龙战,117714,TLC_600,乘风浮龙,2,True,THE_LOST_CITY,MINION,False,True,True
dragon_warrior,龙战,120503,TIME_034,现场播报员,2,True,TIME_TRAVEL,MINION,False,True,True
dragon_warrior,龙战,121196,END_033,先觉蜿变幼龙,2,True,TIME_TRAVEL,MINION,False,True,True
dragon_warrior,龙战,122933,CATA_556,载蛋雏龙,2,True,CATACLYSM,MINION,False,True,True
dragon_warrior,龙战,123157,CATA_582,灼热裂隙,2,True,CATACLYSM,SPELL,False,True,True
dragon_warrior,龙战,123163,CATA_584,喷发火山,2,True,CATACLYSM,LOCATION,False,True,True
dragon_warrior,龙战,123164,CATA_585,烈火炙烤,2,True,CATACLYSM,SPELL,False,True,True
dragon_warrior,龙战,125803,JAIL_421,突牙,1,True,ESCAPEFROM_VIOLET_HOLD,MINION,False,True,True
dragon_warrior,龙战,126002,JAIL_384,破链灾星霍格,1,True,ESCAPEFROM_VIOLET_HOLD,MINION,False,True,True
dragon_warrior,龙战,127017,CAP_105,钩手拖曳,2,True,ESCAPEFROM_VIOLET_HOLD,SPELL,False,True,True
dragon_warrior,龙战,127099,CAP_107,火炮长,2,True,ESCAPEFROM_VIOLET_HOLD,MINION,False,True,True
aggro_druid,快攻德,69550,CORE_EX1_169,激活,2,True,CORE,SPELL,True,True,True
aggro_druid,快攻德,102221,CORE_SW_072,锈烂蝰蛇,1,True,CORE,MINION,False,True,True
aggro_druid,快攻德,113321,EDR_000,伊瑟拉，翡翠守护巨龙,1,True,EMERALD_DREAM,MINION,False,True,True
aggro_druid,快攻德,114849,EDR_844,纳拉雷克斯，龙群先锋,1,True,EMERALD_DREAM,MINION,False,True,True
aggro_druid,快攻德,115090,EDR_846,莎拉达希尔,1,True,EMERALD_DREAM,SPELL,False,True,True
aggro_druid,快攻德,115631,FIR_907,阿梅达希尔,1,True,EMERALD_DREAM,LOCATION,False,False,False
aggro_druid,快攻德,115756,FIR_959,火光之龙菲莱克,1,True,EMERALD_DREAM,MINION,False,False,False
aggro_druid,快攻德,117762,TLC_100,导航员伊莉斯,1,True,THE_LOST_CITY,MINION,False,False,False
aggro_druid,快攻德,120746,TIME_701,波涛形塑,2,True,TIME_TRAVEL,SPELL,False,True,True
aggro_druid,快攻德,120748,TIME_702,潮起潮落,2,True,TIME_TRAVEL,SPELL,False,True,True
aggro_druid,快攻德,121064,END_007,发挥优势,1,True,TIME_TRAVEL,SPELL,False,True,True
aggro_druid,快攻德,121150,END_011,加速光环,2,True,TIME_TRAVEL,SPELL,False,True,True
aggro_druid,快攻德,122967,CATA_131,费伍德树人,2,True,CATACLYSM,MINION,False,True,True
aggro_druid,快攻德,122976,CATA_139,柳牙,1,True,CATACLYSM,MINION,False,False,False
aggro_druid,快攻德,122978,CATA_140,梦境之龙麦琳瑟拉,1,True,CATACLYSM,MINION,False,False,False
aggro_druid,快攻德,123493,MEND_046,巴珊娜·符文图腾,1,True,CATACLYSM,MINION,False,False,False
aggro_druid,快攻德,126225,JAIL_872,蜘蛛骑手,2,True,ESCAPEFROM_VIOLET_HOLD,MINION,False,True,True
aggro_druid,快攻德,126243,JAIL_875,诡计法杖,1,True,ESCAPEFROM_VIOLET_HOLD,WEAPON,False,True,True
aggro_druid,快攻德,127815,JAIL_200,污染厨房,2,True,ESCAPEFROM_VIOLET_HOLD,SPELL,False,False,False
aggro_druid,快攻德,127932,JAIL_201,秘制配料,2,True,ESCAPEFROM_VIOLET_HOLD,SPELL,False,True,True
aggro_druid,快攻德,127946,JAIL_202,小蜘蛛,2,True,ESCAPEFROM_VIOLET_HOLD,MINION,False,True,True
stealth_rogue,潜行贼,69623,CORE_EX1_145,伺机待发,2,True,CORE,SPELL,True,False,False
stealth_rogue,潜行贼,69654,CORE_EX1_010,狼人渗透者,2,True,CORE,MINION,True,True,True
stealth_rogue,潜行贼,114510,EDR_523,欺诈之网,1,True,EMERALD_DREAM,SPELL,False,False,False
stealth_rogue,潜行贼,117697,TLC_515,异教地图,2,True,THE_LOST_CITY,SPELL,False,False,False
stealth_rogue,潜行贼,119532,TLC_522,潜踪大师奥普,1,True,THE_LOST_CITY,MINION,False,False,False
stealth_rogue,潜行贼,119814,TIME_875,半兽人迦罗娜,1,True,TIME_TRAVEL,MINION,False,False,False
stealth_rogue,潜行贼,119815,TIME_875t,莱恩国王,1,False,TIME_TRAVEL,MINION,False,False,False
stealth_rogue,潜行贼,119816,TIME_875t1,弑君者,1,False,TIME_TRAVEL,WEAPON,False,False,False
stealth_rogue,潜行贼,122832,CATA_497,奥卓克希昂,1,True,CATACLYSM,MINION,False,True,True
stealth_rogue,潜行贼,123315,CATA_215,眩晕,1,True,CATACLYSM,SPELL,False,False,False
stealth_rogue,潜行贼,123549,CATA_158,癫狂的追随者,2,True,CATACLYSM,MINION,False,False,False
stealth_rogue,潜行贼,123605,CATA_785,暮光祭礼,2,True,CATACLYSM,SPELL,False,False,False
stealth_rogue,潜行贼,125450,CATA_154,希奈丝特拉,1,True,CATACLYSM,MINION,False,False,False
stealth_rogue,潜行贼,125467,CATA_190h,灭世者死亡之翼,1,True,CATACLYSM,HERO,False,True,True
stealth_rogue,潜行贼,126088,CORE_RLK_567,殒命暗影,1,True,CORE,SPELL,False,False,False
stealth_rogue,潜行贼,127011,CAP_000,军情七处杀手,2,True,ESCAPEFROM_VIOLET_HOLD,MINION,False,False,False
stealth_rogue,潜行贼,127028,CAP_001,静默打击,2,True,ESCAPEFROM_VIOLET_HOLD,SPELL,False,False,False
stealth_rogue,潜行贼,127041,CAP_002,跟随足迹,1,True,ESCAPEFROM_VIOLET_HOLD,SPELL,False,False,False
stealth_rogue,潜行贼,127054,CAP_003,军情七处补给官,2,True,ESCAPEFROM_VIOLET_HOLD,MINION,False,False,False
stealth_rogue,潜行贼,127056,CAP_005,马迪亚斯·肖尔,1,True,ESCAPEFROM_VIOLET_HOLD,MINION,False,False,False
stealth_rogue,潜行贼,129347,CORE_BT_701,间谍女郎,2,True,CORE,MINION,False,True,True
dirty_priest,脏牧,69616,CORE_EX1_197,暗言术：毁,2,True,CORE,SPELL,True,True,True
dirty_priest,脏牧,114080,EDR_449,月翼信使,2,True,EMERALD_DREAM,MINION,False,True,True
dirty_priest,脏牧,114627,EDR_476,月亮井,2,True,EMERALD_DREAM,SPELL,False,True,True
dirty_priest,脏牧,114935,EDR_852,苦花骑士,2,True,EMERALD_DREAM,MINION,False,True,True
dirty_priest,脏牧,115461,EDR_970,卡多雷女祭司,2,True,EMERALD_DREAM,MINION,False,True,True
dirty_priest,脏牧,120060,TIME_890,圣者麦迪文,1,True,TIME_TRAVEL,MINION,False,True,True
dirty_priest,脏牧,120064,TIME_890t,圣杖埃提耶什,1,False,TIME_TRAVEL,WEAPON,False,True,True
dirty_priest,脏牧,120068,TIME_890t2,圣地卡拉赞,1,False,TIME_TRAVEL,LOCATION,False,True,True
dirty_priest,脏牧,124079,JAIL_912,预言师,2,True,ESCAPEFROM_VIOLET_HOLD,MINION,False,True,True
dirty_priest,脏牧,126055,JAIL_430,裂魂者阿扎莉娜,1,True,ESCAPEFROM_VIOLET_HOLD,MINION,False,False,False
dirty_priest,脏牧,126122,JAIL_432,心灵扫荡者,2,True,ESCAPEFROM_VIOLET_HOLD,MINION,False,True,True
dirty_priest,脏牧,126124,JAIL_433,无拘之魂,2,True,ESCAPEFROM_VIOLET_HOLD,SPELL,False,True,True
